,season,episode,live_viewership,featured_music,media/cultural_refs,plot
10,2,4,1.29,5,0,"Continuing the eerie scene first depicted in the season premiere, the charred pink teddy bear is retrieved from the pool by a figure in a hazmat suit. Placed into an evidence bag, the teddy bear is laid on the ground next to other collected objects, also wrapped in evidence bags, carefully organized along the side of the pool. The line of random objects ends with a pair of eyeglasses which appear to belong to Walt.   The next morning, Skyler leaves the house again without word. Walt suggests that he and Junior do something ""fun,"" and takes him for a driving lesson in the Aztek. However, the lesson ends abruptly when Walt wont let Junior use both feet to work the pedals, a technique to compensate for his disability, and he loses control of the car. "
11,2,5,1.21,4,0,"Two men carrying small bundles swim across a muddy river. Once ashore, one of them stumbles and turns to find hes tripped over a dental grill encased in a Lucite cube: Hanks souvenir from his encounter with Tuco. Following a chemotherapy session, Dr. Delcavoli advises that Walt be cautiously optimistic about his chances. However, Walts optimism quickly fades when he sees the final bill for the treatment.  Setting out pretzels and soda in his new apartment, Jesse presents a business opportunity to Skinny Pete, Badger, and Combo. Hell front them each an ounce of meth at a time, and they in turn sell the product for $2,500, $2,000 of which goes to Jesse. Discussing the meth theft with Walt, Jesse argues that they need to accept a little ""breakage"" as the cost of doing business. Meanwhile, back at the White residence, Walt shows Skyler the crumpled cigarette package he retrieved from the toilet, and accusingly asks if she knows anything about it. Skyler later admits to having smoked three-and-a-half cigarettes before disposing of the pack and says that of course she feels ashamed. Walt says its unlike her, but Skyler dismisses this, asking, ""How would you know?""."
12,2,6,1.41,1,0,"As he waits alone on a sidewalk, Jesse crouches down and cautiously examines a large beetle as it wanders the pavement. Skinny Pete approaches, notices the same beetle and immediately crushes it underfoot. Skinny Pete, oblivious at Jesses disappointment at killing the beetle, hands him the name and address of the junkies that robbed him -- a man named Spooge and his unnamed female accomplice.   Spooge tries unsuccessfully to force the ATM open by pounding away at the machine with a sledgehammer, calling his girlfriend a ""skank"" when she questions his competence. Jesse notices that the little boy is missing, and takes the opportunity to chastise her over how she is raising him. Spooges girlfriend mouths off, outraged that Jesse dared accuse her of being a bad mother. The boy reappears and encourages Jesse to play peekaboo again. Jesse relents and, while his eyes are covered, Spooges girlfriend knocks him out from behind with a bottle.   When Walt returns home, a distraught Skyler tells him that Gretchen has called to say she and Elliott cant pay his medical bills anymore. Walt admits he drove to meet Gretchen and lies that he deduced from their chat that she and Elliott are broke. Skyler finds it odd that theyre still driving fancy cars if thats indeed the case. Walter states its just for show, to keep up appearances."
14,2,8,1.04,9,0,"Badger is sitting at a bus stop when a thin guy sits next to him and asks if he is selling. Badger almost immediately laughs the customer off, convinced that he is an undercover cop. The customer lifts his shirt to show that hes not wearing a wire as Badger suspects, and almost starts to walk away before Badger apologizes. Still, Badger explains that he cant sell to the guy, because theres no way to be sure that he isnt a cop. The customer explains that a cop cant deny that hes a cop if asked directly, saying ""its in the Constitution"". Delighted, Badger asks him if hes a cop. When the customer says ""no"", the two make a deal for some blue meth. A split second later, the customer pulls out a gun and badge, arresting Badger on the spot.    "
19,2,13,1.5,3,0,"We return to the flashforward from previous episodes. Workers from the NTSB load the items collected from Walts pool -- including the charred, one-eyed pink teddy bear -- into the back of a van. As the van pulls out, the camera pans up over the White residence to reveal two giant pillars of smoke rising in the distance over Albuquerque. At his apartment, Jesse frantically tries to revive Jane, who choked on her own vomit overnight. Distraught and panicking, Jesse calls Walt -- unaware of his role in facilitating Janes death -- who assures him everything will be okay. Cuddling Holly in his arms, Walt assures Jesse, ""I know who to call."" Inside Jesses apartment, Donald watches silently as paramedics move Jane into a body bag. In the other room with the medical investigator, Jesse follows Mikes rehearsed script. After answering a few police questions, Donald notices Janes ""Apology Girl"" sketch, picks it up and leaves with it, with not even a glance towards a mortified, guilt-ridden Jesse. A grieving Donald, talking over the phone with Janes mother, visits her apartment and searches for a suitable dress to put on Jane for her funeral. Meanwhile, as Junior continues watching the donation counter, Walt tells him to turn down the sound on the computer, claiming its disturbing Holly. Skyler announces that, courtesy of Marie, the Albuquerque Journal will be interviewing Junior about his website. Later, Marie arranges for a local news station to interview Walts family for a segment. An agonized Walt can barely fight back tears of guilt as Junior extols his virtues. Several weeks after the operation, Walt and Skyler visit Dr. Delcavoli and Dr. Bravenec, who tell them that the operation is a success. Choosing her words carefully, Skyler asks whether Walt can now live independently, to which Dr. Bravenec says that he can. Meanwhile, Donald returns to work for the first time since Janes death. It is revealed he works as an air traffic controller."
20,3,1,1.95,1,0,"In a remote village in Mexico, men and women crawl on their bellies up a dusty, adobe-lined desert road. A Mercedes sedan stops alongside the crawling procession. Two men exit the car; both wear well-cut suits and cowboy boots tipped with silver skulls. The men begin to crawl with the others. The procession winds to a candlelit shrine to Santa Muerte, a Mexican folk deity representing death. The two men rise to their feet. One makes an offering, while the other pins something to the shrine: a crude sketch of Heisenberg.  Jesse remains in the Serenity rehab program, and participates in a meeting in which the group leader describes self-acceptance and a desire for self-improvement as essential to transformation. The next day, Walt calls home from his new apartment. Junior picks up the phone and complains that no one is telling him what is going on concerning his parents marriage. Over Skylers objections, Junior arranges for Walt to drive him to school. Later, Walt receives a one-word text: ""POLLOS."" When Walt drives Junior home, his son asks why he doesnt come in the house. Inside, Junior angrily lashes out at Skyler, under the impression that she is persecuting him. Marie, who is present, reasons that Junior is anxious to learn why his parents have separated, which she wants to know herself. Skyler tells Marie that she needs to be supportive without prying. After Walt picks up Jesse from rehab, Jesse intimates that he is responsible for Jane death and, by extension, the plane crash. Walt tries to make Jesse not blame himself for the tragedy, listing off a host of minor factors that he insists contributed more to the crash. ""You either run from things, or you face them,"" Jesse replies. Hes learned to accept about himself what Walt cannot: ""Im the bad guy."""
21,3,2,1.55,6,0,"Walt drives to work, listening to to the song ""A Horse with No Name"" on his car radio. He is pulled over by an Albuquerque policeman, who writes Walt a ticket for driving with a cracked windshield. Walt tries to explain that the car was damaged by debris from the Wayfarer 515 collision, but to no avail. An increasingly agitated Walt rants about his ordeal, ignoring the officers instructions to calm down. Moments later, Walt is thrust into a patrol car, his eyes swollen by pepper spray. At the DEA field office, Hank speculates that the truck explosion on the border was ""high-end cartel work."" As he is finishing briefing his team, he receives a call from the Albuquerque Police. When Hank picks Walt up at the police station, Walt apologizes to the arresting officer and tells Hank that Skyler is refusing to let him see his kids. At the White residence, Junior angrily accuses Skyler of preventing Walt from seeing him, claiming to have seen him in a depressed state at school. After Junior storms off, Hank questions Skyler on whether she has the right to keep Walt from the kids, to which Skyler states that the matter is none of his business. After they leave the dinner, Hank speculates to Marie that Skyler separated from Walt because he had an affair. Marie doubts this, however, saying that Skyler would have confided in her by now if that were the case. At Beneke Fabricators, Skyler confronts Ted over his cooking the companys books again, asking what he would do if his children found out. In response, Ted hopes they would understand that his intentions were honorable and that he did it for their sake, only attempting to keep his head above water. Skyler ponders his answer in silence. Meanwhile, Junior shows up at Walts apartment with a packed bag. Though pleased to see him, Walt calls Skyler and arranges to drive him home. On the way there, Walt tells his dejected son that his mother has her reasons for the current arrangement. The next morning, Walt wakes up face-down on the floor of his apartment as Skyler leaves an angry voicemail complaining about the pizza on her roof, threatening to get a restraining order if he doesnt control himself.  "
22,3,3,1.33,5,0,"In a flashback sequence, Hanks DEA informant, Tortuga, holds court at a seedy Mexican cantina. Tortuga receives a birthday present — a large tortoise — from ""El Jefe,"" his boss. Tortuga is delighted with the gift until the boss writes ""HOLA DEA"" on the reptiles back. The Cousins step out of a back room; one holds Tortuga down as the other cuts off his head with a machete. Mike, watching Walt from outside his house after the Cousins clandestine visit, phones to report that he is still alive. Meanwhile, Skyler arrives home to find Walt inside the house. She tells Walt she wont enter until he leaves and threatens to call the police, but Walt insists that he is staying. Skyler dials 911 and asks the dispatcher to send officers immediately. Recalling Sauls advice, Walt stays calm and grades papers as he waits for the police to arrive. Jesse sits alone on the floor in his empty house, calling Janes old cell phone number to hear voice on the voicemail greeting. Saul pays Jesse him, asking him to convince Walt to begin cooking again. Jesse agrees to try, then shows him the door. After Saul departs, Jesse resumes dialing Janes number. Walt, sleeping on the floor of Hollys bedroom, wakes up when he hears his daughter crying in Skylers room. Walt asks if he can come in and help, but Skyler doesnt respond. When he asks to use her bathroom, she remains silent . Frustrated, Walt urinates in the kitchen sink. Later, Skyler updates her divorce lawyer about Walts return home. The lawyer encourages Skyler to give her all of the facts, reminding Skyler that attorney-client privilege ensures the confidentiality of anything she discloses. After contemplating, Skyler admits that Walt is a meth cook. Skylers lawyer encourages her to immediately sue for divorce, but Skyler expresses reluctance, reasoning that she doesnt want her son to find out that his father is a criminal when Walt may eventually die from his cancer anyway. "
23,3,4,1.46,4,0,"At a desert gas station, Jesse fills up the RV. Realizing that hes short on cash, he tries to charm the cashier girl into taking blue meth as payment instead. Just then, a police officer enters the store, after which Jesse plies on the pressure for her to take the deal. As the officer gets to the counter behind Jesse, she finally relents and takes the meth. Mike visits Saul and plays an audio recording of Walt and Skylers bitter argument over her affair with Ted. Later, Walt heads to Beneke Fabricators to confront Ted, who refuses to see him. As a mortified Skyler and her co-workers watch, Walt tries and fails to throw a huge potted plant through a window into Teds office. Three men arrive and toss Walt out the front door. Seconds later, Mike drives up in his car and whisks Walt away.  At Beneke Fabricators, a co-worker ignores Skylers efforts at small talk and glares at her as she walks out the copy room. Later that day, Skyler and Ted have sex at his house. Afterward, Ted asks Skyler what went wrong with her marriage, as he doesnt want to make the same mistake with her. Skyler replies that she doesnt feel comfortable talking about. While following up on the tweakers tip, Hank listens to an urgent voicemail message from ASAC Merkert about his refusal to report to El Paso. At the gas station, Hank catches the cashier girl in a lie. Sobbing, she admits that a guy with blue eyes and an RV paid her with meth, which she passed along to a friend. The gas stations security camera doesnt work, but Hank notices an ATM whose camera points at the gas pumps."
24,3,5,1.61,4,0,"In a flashback to the pilot, Walt hands Jesse all of his remaining life savings to purchase an RV. Instead, Jesse heads to a strip club with Skinny Pete and Combo and spends the cash on a night-long bender filled with lap dances and champagne. Come morning, Jesse panics when he realizes that only $1,400 remains. However, Combo sells him an RV at that price in ""a no paperwork-type deal,"" stealing the vehicle from a driveway.  Walt visits Los Pollos Hermanos and chides Gus for pretending to collaborate with Jesse, someone clearly below Gus high standards, just to compel Walt to begin cooking again. Gus apologizes for being ""so transparent"" and invites Walt to take a drive with him, saying that he has something he wants to show Walt. Meanwhile, Skyler receives a call from Marie, who is worried that Hanks brush with death is causing him to change as a person. Skyler contemplates on the truth of her words. After another tryst with Ted, Skyler fixes her makeup in his bathroom. Ted suggests they head out for some Thai food, but she declines his invitation. Suddenly uncomfortable with the luxurious surroundings of Teds house, she looks down at the insulated floor, grabs a towel and stands on it. That night, at the White residence, Skyler moves to comfort a fussy Holly. She notices Walt looking at their daughter longingly but not daring to touch her. Skyler reluctantly allows Walt to pick up and comfort the baby; Walt is elated with the peace offering. "
25,3,6,1.64,4,0,"On a Native American reservation outside of Albuquerque, a tribal police officer is dispatched to investigate the possible disappearance of an elderly woman. Investigating the womans property, the officer finds her body behind the outhouse and evidence that someone else has taken up residence inside the house. The officer is confronted by one of the Cousins, Leonel, who distracts him while the other, Marco, sneaks up from behind and slaughters him with the axe. Skyler calls Walt to discuss the signed divorce papers she found in Hollys crib. Skyler objects to the idea of Walt using his drug money to pay child support, only to contend that Walt has been using that money to pay their bills for the past few months. Walt is looking at a model condo, which he offers to buy with its furnishings. Meanwhile, the Cousins enter Los Pollos Hermanos. Gus watches as they sit down in a booth without ordering anything. Walt drives Junior, who is sullen about the impending divorce, to school. Elsewhere, Gus arrives at Los Pollos Hermanos and sees the Cousins sitting at their booth. Gus assures his manager that the Cousins are doing nothing wrong, instructing to leave them be. Nonetheless, he does seem annoyed by their persistence. Walt calls Jesse, but hangs up before speaking out of fear of the line being tapped. He then calls Saul and tells him that Hank knows about the RV, which is covered in physical evidence of his presence. Saul tells Walt to get rid of the RV, but Walt is unable to decide what to next. Walt races to the repair yard and orders Clovis and Badger to destroy the RV. Badger tips off Jesse, rushes out of his house and drive to the repair yard, unaware hes being trailed by Hank. Meanwhile, Gus, frustrated with the Cousins lurking in his restaurant, approaches them and arranges an off-site meeting: ""Sunset."" After Hank pounds on the door of the RV, Walt strains to hold the door shut when he tries to pry it open with a crowbar. Old Joe confronts Hank, challenging him on whether he has probable cause to search the RV. Their argument evolves into a debate over whether the RV should legally be considered a vehicle or a domicile. If it is the latter, its residents would be constitutionally protected against unlawful search and seizure. "
