,season,episode,live_viewership,featured_music,media_refs,plot
10,2,1, 2.57m ,9,0,"In the present day, ""Gene"" heads to the mall dumpster to take out the trash. The door closes behind him, locking him in the room with the dumpster. An emergency exit is available to Gene, but a note indicates the police would be contacted immediately if its opened. Instead of using that option, he waits 2 ½ hours until a member of the night cleaning crew opens the door for him. While waiting for help, Gene carves a little message into the wall with a loose screw that reads ""SG was here.""    Floating again in the hotel pool, Jimmy spots an easy mark too tempting to pass up. He leaves a voicemail for Kim, beckoning her to take another spin as his partner-in-crime. Left alone, Jimmy seems to lose some of his buoyancy. After a pensive beat, he makes another call to Davis & Main."
11,2,2, 2.23m ,8,0,"At his house, Chuck plays his piano when Howard arrives with a grocery delivery. Howard delicately informs Chuck that Jimmy was hired by Davis & Main in a partner-track position to maintain continuity on the Sandpiper Crossing case. Taken aback, Chuck asks whether Cliff is aware of Jimmy’s background. Howard says he painted a full, honest picture of Jimmy - but also admits that he didn’t stand in the way of Jimmy being hired. As Howard departs, Chuck sits scowling in silence.  In his cozy office at Davis & Main, Jimmy pores over Sandpiper documents. He hears guitar music emanating from Cliff’s office, so Jimmy pops his head in to share a discovery he’s made. Cliff tells Jimmy he plays to “blow off steam,” and then commends Jimmy on his hard work. When Ernesto drops off groceries at Chucks house, he finds Chuck putting on his space blanket-lined jacket, ready to venture out. Meanwhile, at the abandoned power plant, Daniel hands Nacho the keys to his Hummer in exchange for the stolen baseball cards. Daniel is devastated to discover that Nacho plans to send his car directly to a chop shop, but is relieved to find his card collection in good order. Nacho hands $10,000 to Mike, unceremoniously concluding his business arrangement with Daniel. Wallowing in his defeat, Daniel looks to Mike for sympathy but doesn’t find any. As they prepare to head back to Albuquerque, Daniel gets a call from the police. "
12,2,3, 2.20m ,5,0,"In Amarillo, Texas, Jimmy leans against the wall of a run-down building as a bus full of Sandpiper Crossing residents slows to a stop in front of him. The driver, who has been bribed by Jimmy to stop here, hops out, apologizing to his passengers for a ""hiccup."" Jimmy steps aboard, searching for a Mrs. Alma May Urbano and asking if she received a Davis & Main class action mailer concerning Sandpipers overcharging. Other passengers overhear their conversation and pepper Jimmy with questions. Jimmy explains that Sandpiper may have overcharged them, too, and offers to help get their money back. Shortly thereafter, the seniors file off the bus at their restaurant destination, handing a pleased Jimmy their signed letters of engagement.  At Davis & Main, Jimmy and Omar review response rates for their class action mailers. Out of the 283 mailers sent to the Sandpiper branch in Colorado Springs, Jimmy is irked to discover that they received zero responses. In the lobby, Jimmy catches Cliff as he heads out for a business trip. Jimmy takes the opportunity to quickly update him on the case, speculating that Sandpiper staff members in Colorado Springs are throwing their mailers away before residents can see them. He pitches an alternative way to reach clients: a highly targeted television commercial. Cliff acknowledges that the firm produced a commercial for a previous class action lawsuit, so hed be open to discussing the idea. Back in his office, Jimmy appraises Davis & Main’s previous foray into the world of legal advertising. Their lackluster commercial leaves him underwhelmed.  Jimmy paces anxiously in his office as his commercial is about to hit the airwaves. He confirms with Omar that all calls will be correctly routed and answered. Reassured but still nervous, he retreats back into his office and tries his old “magic fingers” ritual to summon calls. Just as he’s about ready to admit defeat, the phones begin to ring. Jimmy heads out into the bullpen, where all of the assistants are taking calls. Jimmy takes in the bustling bullpen with pride. Meanwhile, Stacey and her daughter sleep soundly in Kaylee’s tiny bed. Having finally convinced Stacey to let him stay over, Mike lies awake on her couch. His phone vibrates; Caldera offers him a “next-level” job from a guy specifically requesting Mike."
13,2,4, 2.20m ,4,0,"Late in the evening, Mike enters his house. Pained, he tosses a stack of hundred dollar bills onto the kitchen table. He stiffly makes his way to the kitchen, pulling a bag of frozen vegetables out of the freezer and pressing it to his face. As he slumps into a chair, he lowers the bag: his eye is badly swollen shut and his face has been violently beaten. Mike reaches into his pocket and pulls out a silver necklace shaped like a pair of boxing gloves.    The next day, Nacho and Tuco (wearing the silver boxing glove necklace) sit across a table at the restaurant from one of their dealers, Krazy-8, and counts his cash. As Nacho counts the money again, Tuco stares at Krazy-8 for an uncomfortably long time, but Nacho allows Krazy-8 to leave. As he does, Tuco snorts a hit of crystal meth. Once Krazy-8 drives off in a Tampico Furniture van, Mike uses a payphone to call the police, anonymously reporting that a man is threatening another man with a gun at the restaurant. Mike then gets into his car, drives across the street and pulls into restaurant parking lot, deliberately scraping Tuco’s car. Tuco sees the collision and seethes as Mike walks in and orders food to go at the counter. Tuco angrily confronts Mike, who shrugs him off and deliberately flashes a wallet full of hundred-dollar bills as he collects his food."
14,2,5, 1.99m ,7,0,"In 1992, a hypersensitivity-free Chuck replaces a dead bulb in his dining room chandelier without flinching. He puts on music, then makes his way to the kitchen to help his wife, Rebecca, prepare dinner. Chuck apologizes in advance for the guest they’re expecting: Jimmy, whom he describes as “an acquired taste.” Rebecca isn’t worried, but they come up with a plan in which she will tug on her earlobe if she tires of Jimmy and wants to end dinner early. Jimmy arrives early, six-pack in hand, and is impressed by Chucks house. Chuck impatiently invites him inside.  The next morning, Jimmy arrives at Davis & Main to find Erin already waiting in his office. Jimmy apologizes for ditching her and launches into an elaborate excuse. Erin sees through it and cuts him off. Jimmy drops the act and agrees to look at her notes. Meanwhile, inside a stairwell at HHM, Kim spends her lunch break making calls, trying to drum up new business and get back on Howard’s good side. As charming as she is, she strikes out on every lead. Deflated, she returns to doc review to keep working. Kim continues to search for a new client for HHM. At last, she receives a return call from Paige Novick, who works as senior counsel for Mesa Verde Bank & Trust. Kim jumps for joy after arranging a meeting over the phone, her cheer reverberating in the empty parking garage. The next day, Kim and Howard greet Paige and Kevin Wachtell, the CEO of Mesa Verde, in the lobby of HHM. After a successful meeting, Kim offers to draw up a list of associates to assign to the case. Howard informs her that someone else will spearhead that - Kim has enough on her plate in doc review. He heads back inside, leaving Kim disheartened and disillusioned. Howard visits Chuck to share the good news about Mesa Verde. Chuck is impressed that Kim has snagged $250,000 in billings and possibly years of work for HHM, but Howard indicates that he hasnt forgiven her yet. Later, before sunrise, Chuck heads into HHM and works by lantern. He’s interrupted by Kim, who is dropping off paperwork. Chuck explains that he’s trying to work before the office opens when the lights are off and the phones are quiet. He asks Kim to make them each a cup of coffee."
15,2,6, 2.11m ,12,0,"Jimmy lies awake in the bed of his corporate apartment in the middle of the night. He tosses and turns, but simply cant get comfortable. Giving up on falling asleep, he turns on the TV and starts channel surfing, finding that Davis & Main have used a very plain version of a class action lawsuit ad, with the white text over swirly nebulousness that he hated from the previous one. Jimmy decides to blow off steam by throwing around the straw decorative balls around his apartment in manners imitating games like basketball and bowling. After he gets bored, he drives to the nail salon and goes to the back room of the nail salon, where he finally falls asleep in his old office. The next morning, as Kim is getting ready to for work, she gets a call from Jimmy, but decides to let it go to voicemail. Jimmy serenades her with the song ""Bali Hai"" from South Pacific on her voicemail and she leaves out the door, amused. Jimmy is still in the nail salon back office, when Mrs. Nguyen comes in, annoyed at Jimmys presence. However Jimmy says he is in his right to be there as a rent-paying tenant. She speculates that he has already lost his job, to which Jimmy agrees he doesnt really want it.   The next day, Kim is at work in her office when Howards secretary comes by with some Sandpiper documents for her to review. Howard needs them done in an hour, in spite of the fact that Kim hasnt yet had her lunch break. "
16,2,7, 2.03m ,5,0,"In 1973, a young Jimmy is ""working"" at his fathers store, secretly reading a Playboy magazine. A customer comes in and asks Jimmys father for loose change and medicine, since hes got a sick kid. Jimmy immediately deduces that the customer is actually a con man looking to steal money from the till. He tries to tell his father, but he refuses to listen to Jimmy. When Charles Sr. goes to the back to get the item the customer is looking for, Jimmy approaches the cash register to handle the man. After receiving his money, the con man tells Jimmy that there are ""wolves and sheep in this world"" and that he must figure out which hes going to be. He then leaves the store. As Jimmys father returns with parts to help fix the con mans ""broken down"" car, Jimmy, watching him follow the customer outside, quietly begins stealing money from the register. In 2002, Jimmy sits on a bench in the courthouse lobby, doodling out something on a notepad. Moments later, Mike shows up. Jimmy replaces his conservative legal wear with several suits of ugly, garish colors. He shows up the next day dressed in his new wear, introducing himself to everyone he can. He brings in a loud, bulky blender to the break room and proceeds to spray the entire room with ingredients while attempting to make a smoothie. He advises the custodian (from Michigan) on cleaning techniques in a Mexican accent, much to the custodians annoyance. He fails to flush the toilets on a constant basis, and details a list of conservation concerns when Cliff relays a group complaint.  In her office, Kim writes an email to Howard. Jimmy visits her, unbeknownst to Howard, and asks to talk in the conference room. He offers to make Kim her partner under the name ""Wexler McGill"" where she can be her own boss. Kim worries about the big all-or-nothing gamble at stake, but Jimmy reassures her that the odds are in her favor because she is an amazing lawyer and that she deserves more than just a lateral move which Howard and Schweikart represent. Annoyed at the one-sided conversation, Kim asks Jimmy about his position with Davis & Main and learns that he quit. Jimmy says that he did not fit at the firm, contrary to how he feels about working with Kim, who is concerned whether he will play it straight as her partner. Jimmy knows the answer she is hoping to hear, but after looking at Marcos ring, admits he must be himself due to the negative consequences he and others faced when he tried to imitate their ways. Kim is still perplexed as to why Jimmy needs her, but he corrects her by saying that he wants her. She states that he already has her, just not as a law partner.  Kim interviews at Schweikart and Cokely. After a lengthy conversation about her law experience, Schweikart wants to change the subject and hear her backstory. She tells him she grew up in a small town near the Kansas-Nebraska border where she had limited prospects. However, she wanted ""something more"", which led her to pursue law at UNM. After the interview, Schweikart tells Kim that she should expect to hear from them by tomorrow. Both excited and nervous about the offer, Kim accidentally calls him ""Howard"" when shaking his hand good-bye. Later, while smoking a cigarette on the parking garage, Kim looks at Jimmys Wexler McGill business card and has an idea after she rips it in half, separating the W and M in the logo."
17,2,8, 1.93m ,4,0,"At the U.S.-Mexico border, hundreds of semis await their turn to cross. The camera tracks as one Regalo Helado ice cream truck crossing the border and being redirected to an inspection station. Once inside the depot, Border Patrol agents comb the truck searching for any possible drugs, while the driver, Ximenez Lecerda looks on anxiously. After a while, hes cleared and allowed to go on his way, but not before he takes an ice cream popsicle from one of his boxes for himself. Jimmy and Kim eat hot dogs at the Dog House, celebrating their new partnership in law. Jimmy laments that their cooperation required a proper celebration at a more high-end establishment, but Kim reminds him they have to minimize their costs. Jimmy advises her to send a letter of resignation to HHM that night to officially give notice and not break her contract when she calls Mesa Verde and her other clients the next morning to bring them along to her new firm. Kim replies that she needs to do things in a way that are right for her.  Jimmy and his film crew, accompanied by a wheelchair-bound elderly man called Fudge, arrive at a military base and view a B-29 bomber named FIFI with Captain Bauer, who is under the impression that Fudge is a war hero; in truth, Fudge is merely a client Jimmy once defended for public masturbation. Bauer expresses his admiration for Fudge and asks many detailed questions about his service. To not let him get exposed, Jimmy asks Bauer to get some water for Fudge, to which he happily obliges. As Bauer is away, Jimmy and his crew begin filming another bit for Jimmys commercial with Fudge standing in front of FIFI. They finish the scene just in time for Bauer to return with a group of soldiers, who wish to take a photo with Fudge. Jimmy reluctantly agrees. "
18,2,9, 2.06m ,5,0,"On a rural road, a blue sedan is parked behind a decaying billboard to hide it from passing motorists. Nearby, Mike Ehrmantraut, wearing a ski mask, is busy stringing a rope with a wheelbarrow, fed through hooks and attached to a pair of wooden posts. Meanwhile, we see Ximenez Lecerda driving down the road in a Regalo Helado ice cream truck.   Chuck gets dressed and heads downstairs, where Howard is waiting for him. They are scheduled, along with Kevin Wachtell and Paige Novick, to appear before the New Mexico State Banking Board to get final approval for the new Mesa Verde branch. Despite Howards offer to attend the meeting alone, Chuck insists on coming along. From the park across the street, Jimmy watches Chuck and Howard drive off, then he proceeds to run into Chucks house with a stack of files.   Jimmy arrives at the late night copy shop just in time to see Ernesto get into his car and drive away. As it is only a matter of time before Ernesto will return with Chuck, Jimmy enters the shop and approaches Lance, and explains whats going on and how Chuck will soon be coming in to investigate. As he elaborates, Jimmy produces money from his wallet, offering a bribe. Lance is reluctant at first but happily agrees to lie after Jimmy assures him that he wont get in trouble with the police. For another $200, Lance furthermore agrees to erase the security footage from the surveillance cameras."
19,2,10, 2.26m ,3,0,"In a flashback, Jimmy and Chuck are sitting beside their dying mother in the hospital, who has been in a coma for three days. While Jimmy leaves to get food for him and his brother, their mother wakes up and asks for Jimmy twice before flatlining. A clearly jealous and angered Chuck refuses to notify Jimmy. When he returns, Jimmy learns of his mothers passing, and when he asked if she had said anything, Chuck lies that she did not.  Meanwhile, Nacho has brought the driver of the Regalo Helado truck to Hector, who is waiting with The Cousins at an abandoned shack ranch in the desert. Neither Nacho or Hector appear aware that Mike has been shadowing them and quietly observing the activity. Chuck finally wakes up the next morning, and Jimmy immediately takes him home, the two of them appearing to have reconciled. Upon his leaving, Chuck immediately goes into his garage. At his office, Jimmy receives a dire phone call from Howard regarding Chuck, prompting him to go see him. To Jimmys shock and worry, Chuck has lined the walls and ceilings of his living room with metal sheets, claiming that the walls and ceilings did nothing to reflect the electromagnetic rays that led to the deterioration of his mind over time, believing this is what caused him to make the typo in the Mesa Verde documents. "
20,3,1, 1.81m ,5,0,"In present-day Omaha, ""Gene"" carries on with his job at the local Cinnabon. During a lunch break, he sees a shoplifter hide inside a photo booth. Gene reluctantly tips off pursuing police officers to the shoplifters location, resulting in an arrest. However, as the shoplifter is led away, Gene is overcome with emotion and shouts at him to say nothing and hire a lawyer. When he returns to work, Gene faints.  After finding the mysterious message on his windshield in the desert, Mike understands that his hit on Hector has been completely compromised and Mike himself is most likely in danger. He drives at break-neck speeds to flee the reserve in his station wagon. His first intuition is that someone has placed a tracking device on his vehicle. Not easily able to spot it, he stops in a junkyard and begins to meticulously disassemble the vehicle. After hours of unsuccessful searching, and with the junkyard about to close, Mike has an epiphany: he takes apart the wagons gas cap and finds a tracking device inside. At home, he finds and examines another device hidden in his Chrysler sedan, recording its ID number.  At a railway warehouse, Mike meets up with Caldera, who is upset about being called in the middle of the night. Mike requests a tracking device and monitor identical to the one used to bug his vehicle. Caldera agrees, but warns Mike he will need time and extra money for this job. He also admonishes Mike to keep to ""business hours"" when contacting him. During a visit to Chucks house, Ernesto brings new batteries for Chucks tape recorder. Feigning not to be able to change the batteries due to his EHS condition, he asks Ernesto to do so. When he finishes changing the batteries, the recorder plays back a small section of Jimmys confession -- it seems that the play button had accidentally been left on. The passage is sufficiently explicit for Ernesto to grasp the gravity of what he has just heard. Chuck pressures Ernesto to never tell anyone else on the pretext of confidentiality. Stunned, Ernesto hurriedly finishes his tasks and leaves. Chuck seems pleased to have managed what appears to be the first step in his gambit against Jimmy."
21,3,2, 1.46m ,4,0,"At dusk, Chuck prepares a cup of tea and checks the locks on all of the doors at his house. He is accompanied by a private investigator, Dave Brightbill, who is playing solitaire. After turning down the lantern light, Chuck looks outside.    Mike continues his stakeout of Los Pollos Hermanos and notices a black Escalade pull up to the back of the building. When the car -- revealed to be driven by Victor -- drives off, the readout indicates the tracker is inside. Mike follows the Escalade. Kim conducts research and, based on what she has learned, figures that Chuck cannot use the confession tape in court and will not use it to win back Mesa Verde and reveals she has strategies ready to get the tape exuded outright in court (almost exactly as Howard predicted in the previous episode). Kim suggests that Jimmy not act and wait for Chuck to make the first move. Instead, Jimmy angrily leaves. "
22,3,3, 1.52m ,2,0,"A Los Pollos Hermanos truck drives towards an intersection in Mexico, near the US border. An old pair of sneakers are seen hanging from the power line over the road. After the truck leaves, the laces snap and the shoes fall onto the road.   At the courthouse, Jimmy shows up with a burger and fries and meets Bill Oakley sitting in the hall, chatting him up about his case. Oakley tells him that hes not handling the case and that the whole Albuquerque DAs office has been ""conflicted out"" because they all know Jimmy too well; a prosecutor from Belen named Kyra Hay has been brought in. "
23,3,4, 1.56m ,1,0,"In a flashback to 1999[1], Don Eladio Vuente is seen taking a dive in the pool at his hacienda in Mexico. He is visited by Hector and Ximenez Lecerda, who present him with the returns from their drug operation -- a bunch of money rolls belted by rubber bands -- and a mascot bobblehead from Hectors ice cream store that looks like Eladio and is nicknamed ""Sabrosito"" (""Tasty""). Soon afterwards, Juan Bolsa arrives and presents Don Eladio with a Los Pollos Hermanos T-shirt as well as the returns from Gus operation -- a much larger amount, neatly packed in plastic wrapping. Don Eladio teases Hector, who is visibly jealous at Gus having won the Dons favor over him.  The following morning, Gus addresses his employees and apologizes for the distress caused by the previous days events. After some silence, Lyle asks Gus who those men were, and he tells them that Hector and his men were extortionists he encountered during his restaurants early years in Mexico and that he refused their renewed demands for money. After giving a rousing speech about how in America the righteous have no reason to fear and how those men no longer have power over him, Gus wins the moral support of his employees.  "
24,3,5, 1.76m ,0,0,"In a flashback to 2001, Jimmy drops by Chucks house as he is having workers remove all electronics. Chuck is attempting to reconcile with Rebecca, but wants to keep her from finding out about his purported EHS. The dinner is initially a success, but Rebecca receives a cell phone call from her conductor, making Chuck anxious. He snatches the phone and throws it to the floor. Rebecca, angered, decides to call a cab. Jimmy wants to tell her about Chucks EHS to salvage the evening, but he vehemently refuses.    Jimmy cross-examines Chuck, using Mikes photos of the interior of his house to question him about his state of mind at the time he taped Jimmys confession. Jimmy further confronts Chuck about how close he has to be to an electrical object to be affected by his EHS. He asks Chuck to identify the closest source of electricity and reveals that he has his cell phone in his pocket, but Chuck -- calling his bluff -- points out that Jimmy had removed the battery. However, his condescension over Jimmys ""sorry little trick"" is cut short, when Jimmy asks Chuck to remove an object from his breast pocket, which proves to be the fully charged battery; Jimmy had Huell plant it on Chuck during their encounter in the stairwell, and although Chuck has been carrying it for an hour and 43 minutes, he has not been affected at all."
25,3,6, 1.72m ,3,0,"At El Michoacáno, Nacho is collecting drug money as Hector reads a newspaper nearby. Krazy-8 arrives to deliver his returns, but Nacho finds that he has come up short. He initially allows Krazy-8 to leave, but at Hectors prodding, drags Krazy-8 to the back of the restaurant and beats him. That night, while working at his fathers upholstery shop, Nacho feels pangs of guilt and injures himself at a sewing machine.  Mike accompanies Stacey to a support group, where she talks about how she and Kaylee are coping with Matts death. Outside, Stacey tells Mike that she has volunteered him to help build a playground, recounting a story Matt told her about helping Mike pour concrete for his garage. Meanwhile, Chuck reluctantly lets Howard into the house. Over some 35-year-old Macallan scotch, Howard tries to dissuade Chuck from further fighting with Jimmy, telling him that the effort would be better spent on the future. Chuck seemingly agrees. After he sees Howard off, Chuck removes the battery from his tape recorder and forces himself to hold it.  "
26,3,7, 1.65m ,3,0,"Jimmy performs community service, consisting of picking up litter under a highway overpass. He uses his cell phone during the excursion, taking a call for ""Saul Goodman Productions"" and making a call to demand a refund of his prepaid malpractice insurance. At the end of the day, Jimmy finds that his supervisor only logged thirty minutes out of his four hour shift; the supervisor cites Jimmys prohibited use of his phone. Jimmy tries to argue the point, but doesnt find support from the others in his group.  At his house, Mike retrieves some money from a cache hidden beneath the floor of his closet. While working on concrete for the playground project for Staceys church, Mike reluctantly accepts help from her friends in the support group. He also seems to form a connection to the group leader, Anita, and shows her how to use a broom to add texture to the walkway. That night, as Mike checks into work at the parking booth, he sees Daniel waiting in his minivan nearby. Daniel asks Mike to help him wiggle out of his job for Nacho, but Mike refuses to get involved and tells him to get out of the situation himself.   At their meeting, Nacho is surprised to find Mike accompanying Daniel. Mike insists on knowing Nachos plan before giving him the pills, asking how Nacho intends to switch Hectors pills without leaving evidence. Nacho explains that Hector wants to use his fathers business to front drugs, which can put his father in danger. After examining Nachos gas cap, Mike tells him that other people are watching Hector and to make sure he switches the pills back if he goes through with his plan. Mike agrees to Nacho and Daniels exchange once Nacho shows him the money and gives him ""one more thing,"" which Mike pulls out a pad and pen in anticipation."
27,3,8, 1.63m ,6,0,"In a flashback, Jimmy and Marco break into the McGill familys abandoned store in Cicero, Illinois. Jimmy retrieves an old metal Band-Aid box from the ceiling tiles, from which he retrieves his childhood coin collection. He finds an Indian-head penny that he hopes to use in a con game. Jimmy explains that he hid his collection after his father tried to give back a rare George Washington half dollar. Marco expresses genuine remorse for Jimmys parents losing their store though Jimmy doesnt and he goes on to say that his family were better off not owning the store, saying that his father was only popular because he was too generous with money and implies it was solely his fault for its eventual closure (completely ignoring his own role in its demise). As he and Marco leave, Jimmy takes the Band-Aid tin with him. Mike drives to the site of the truck robbery and retrieves a metal detector and shovel from his trunk. He uses these instruments, along with the information supplied by Nacho, to find the body of the good Samaritan killed by Hector after the robbery. Mike anonymously reports the body to the Tribal police.  Chuck decides that he needs to confront his EHS on his own. To that end, he walks to the local supermarket without any protection. Though the EHS does seem to kick in, Chuck manages to complete his shopping without incident. When he returns home, he finds Howard waiting outside. Howard is delighted and impressed that Chuck managed to shop by himself, but then reveals hes not here to make a social call: an issue has come up with Chucks malpractice insurance. While picking up trash as part of his community service, Jimmy is handicapped by his back pain. A member of the work group, Freddy, asks the supervisor if he can take time off to visit his sick daughter in the hospital. The supervisor authorizes him to leave but warns him that he will not be credited with the hours he has worked. Having listened to the conversation, Jimmy instead deduces that Freddy is a drug dealer and that the excuse about his sick daughter is most likely a lie, but offers him a deal: for $700, Jimmy will make sure that Freddy can leave without losing his hours. Intrigued, Freddy accepts the deal. "
28,3,9, 1.47m ,5,0,"Jimmy visits Sandpiper Crossing to see Irene Landry, the class representative in the Sandpiper lawsuit. Over cookies, Irene tells him that Erin Brill, his former co-worker from Davis & Main, told her that the suit is years from a resolution. When Irene lets Jimmy look at Erins settlement offer, he is taken aback by the figure and tries to persuade her to accept the proposal right away, against Erins advice. Jimmy sees Irene off as she leaves with her chair yoga group. As he walks out of the Sandpiper building, Jimmy calculates the numbers and realizes he stands to gain over $1.16 million from the settlement.    In the middle of the night, inside his office at Wexler McGill, Jimmy tampers with some of the balls used for Sandpiper Crossings Bingo game. The following day, Jimmy uses the rigged balls to ensure that Irene wins first prize. However, when no one else in the room applauds her, she flees the room and is reduced to tears. Jimmy approaches her and, under the guise of trying to help, suggests that it is in the best interest of the group and her relationships that she accepts the settlement offer right away."
29,3,10, 1.85m ,4,0,"In a flashback, a teenage Chuck reads The Adventures of Mabel to a younger Jimmy in a tent in their familys backyard in Cicero, Illinois. As he continues reading, the camera closes in on the gas lantern lighting the tent. Kim is taken to the hospital following her car accident and has her broken arm put in a cast. A worried Jimmy comes to her hospital room. That night, the two return to the scene of the crash, where Jimmy tries to pick up the scattered Gatwood Oil documents.  Jimmy drops by Irenes room at Sandpiper Crossing to celebrate the settlement with balloons and a cake. He tries to make suggestions for how Irene can spend the money, but she tells him that her friends remain upset with her. At the shopping mall, Jimmy sits with Irenes chair yoga group and unsuccessfully tries to persuade them to reconcile with her. The other ladies remark that Jimmy is a ""good friend"" and that Irene doesnt deserve him, unaware of his role in manipulating them all into agreeing to the settlement. Nacho sits in his van outside the upholstery shop, with a gun on the passenger seat. When Hector pulls up in his car, Nacho takes the gun and attempts an ambush. However, Arturo and Carlos arrive and prevent Nacho from proceeding. The four watch as Gus and Juan Bolsa arrive to confront them. Bolsa reiterates Don Eladios position that Guss ""chicken trucks"" will do all of the cross-border transportation for the Juárez Cartel. Hector becomes increasingly enraged and suffers severe chest pains again.  He takes Nachos spiked pills, dropping the bottle and remainder on the ground, where Nacho can retrieve them. As planned, the pills have no effect and Hector collapses. Gus urges Bolsa to leave the scene as he performs CPR on Hector, saving his life. After Hector is loaded into an ambulance, Gus suspiciously eyes Nacho. Jimmy returns to Kims house, where they are watching a marathon of rented movies while she is taking time off of work. Jimmy reports that his efforts to fix the rift between Irene and her friends have kept ending in failure, with his efforts to put in a good word for Irene having the opposite effect. Jimmy finally devises a way to do right by Irene, but tells Kim that ""I really, really dont want to do it."""
30,4,1, 1.77m ,4,0,"In present-day Omaha, ""Gene"" is wheeled out of the Cinnabon by paramedics following his fainting spell. At the hospital, he is given a clean bill of health and prepares to be released. However, ""Gene"" is held up by the nurse at the front desk, who is having trouble entering his fake ID and Social Security numbers into a computer. ""Gene"" becomes nervous at the possible exposure of his true identity. The nurse realizes she has mistyped the numbers, and when they go through, she allows ""Gene"" to leave.    "
31,4,2, 1.55m ,1,0,"In a dark hospital room, Barry Goodman and Victor secretly examine Hector as Gus waits in the parking lot outside. When Barry is finished with his analysis, he goes down and reports to Gus that while Hector is no longer comatose, there is no telling when he will wake up or whether he will understand whats going on around him when he does. He further says that the hospital is doing the best it can, and that only an institution such as Johns Hopkins could give Hector better treatment. Barry asks whether a man like Hector doesnt deserve to be in this condition, but Gus insists that he alone gets to decide Hectors fate. Kim is woken up early by the sound of Jimmy making orange juice in a juicer. He has scheduled a series of job interviews around Albuquerque all day and is eager to get started, despite having a meeting scheduled with Howard to discuss Chucks will. Although Kim remarks that Jimmy doesnt have to start his job hunt so soon, he hurriedly leaves after fixing her breakfast. Kim is uneasy with Jimmys behavior.   "
32,4,3, 1.51m ,2,0,"On a desert road, Victor lays down a spike strip and drives Arturos car over it, shredding the tires. Tyrus is following in the Cadillac with Nacho, who is driving. Nacho watches as the two men remove Arturos body from his trunk, place it in the drivers seat of his car, then shoot up the vehicle with their pistols. After emptying two clips each, Victor puts a bullet in the side of Arturos head. Nacho is then forced to get in the vehicle, where Victor shoots him in the shoulder. After Nacho exits the car, Victor comes up behind him and shoots him in the gut, which Tyrus says is needed to ""make it look real."" Arturos death has been staged to look like an ambush, with Nacho as a witness. As Nacho lies writhing on the ground, Tyrus leaves him a cell phone and advises that he call for help while he still can.    "
33,4,4, 1.53m ,5,0,"The episode opens in a flashback to the 1970s, as a young boy watches his father pour cement in his driveway. The father allows the boy to sign his name in the wet cement, revealing them to be Mike and his son Matt, respectively. The scene abruptly cuts to Mike at Staceys support group, which has apparently been stunned into silence. He coldly states, ""You wanted me to talk. I talked.""  At Loyolas, Mike is solving newspaper crosswords. Anita steps in and approaches his booth. During their conversation, she asks him to befriend another member of the support group, Henry DeVore, who relates stories of his dead wife, named Judy. Mike says that Henry is making up Judy, pointing to a discrepancy in his story about their purported first kiss at Wrigley Field. When Anita expresses disbelief, Mike advises to her to look for Henry to give a tell -- rubbing his wrists -- when he talks about Judy at the next group meeting. The two agree to a ten dollar bet on whether he does so. At an abandoned warehouse, Nacho informs Gus that the Espinosas have been wiped out and that the Cousins have gone south until the heat dies down. Nacho verbally surmises that Gus engineered the situation to his advantage, destroying the Espinosas with the expectation that the cartel will give him their territory. Gus simply tells Nacho to get some rest, as he has some work to do. Nachos father Manuel arrives home to find his back door open. Inside, he finds a bandaged Nacho sitting in his living room. Manuel moves to call the hospital, but Nacho tells him it wont be safe if he does so. He asks his father if he can rest at the house for a while. The following day, Mike is performing another security check at a Madrigal warehouse when Stacey tries to contact him on his cell phone; he ignores the call. However, he is forced to take a call from Victor, who says that Gus wants to meet him that night."
34,4,5, 1.53m ,5,0,"Just before the events of ""Granite State"", at the offices of Saul Goodman & Associates, Saul retrieves a satchel full of cash from the ceiling while Francesca shreds documents. Saul breaks open the wall with the ""We the People"" wallpaper behind his desk and takes out his shoebox, which he places inside his luggage. He hands over two rolls of cash and Eds business card to Francesca. Saul offers Francesca a hug before she leaves to dispose of the shredded documents, but she scoffs and walks out. He then takes out a disposable cell phone from his desk drawer and calls Ed, asking for an emergency extraction in coded language.   Jimmy approaches three youths in his car and offers them drop phones, but they dismiss him as a ""narc"" and tell him to beat it. Jimmy goes to Day Spa and Nail, looks through his stock of tacky clothes, and dons a tracksuit. He walks up to shady characters at the Dog House drive-in restaurant, who prove to be more willing to purchase phones, sometimes in bulk. Eventually, the Dog Houses patrons quickly scatter leave as a biker gang rolls in. Although he is intimidated by the bikers, Jimmy approaches them with the last of his supply and manages to convince them to make purchases. After the bikers leave, and Jimmy is about to drive away, he is mugged by the three youths from before, stealing his money.  Gus orders Mike to try again with another structural engineer, Werner Ziegler, who he escorts to Lavanderia Brilliante via the same blindfolded trip in the van as the Frenchman. After making much more thorough measurements of the building, particularly an area around one of the laundry machines, Werner explains the logistical challenges of excavating the area beneath the industrial laundry without compromising the building or drawing attention from people above-ground. Gus emerges from the shadows and asks if Werner is saying the job is impossible; Werner replies that it will be difficult, dangerous and expensive, but not impossible. Impressed, Gus introduces himself to Werner and greets him in German, hiring him for the job."
